sample,lat,long
 Dun 23 7.5.9,52.272111,1.630814
 Dun 23 7.5.9 - Average,52.272111,1.630814
 Dun 24 7.5.9,52.272111,1.630814
 Dun 24 7.5.9,52.272111,1.630814
 Dun 24 7.5.9,52.272111,1.630814
 Dun 24 7.5.9 - Average,52.272111,1.630814
 Dun 25 7.5.9,52.272819,1.631153
 Dun 25 7.5.9,52.272819,1.631153
 Dun 25 7.5.9,52.272819,1.631153
 Dun 25 7.5.9 - Average,52.272819,1.631153
 Dun 26 7.5.9,52.272819,1.631153
 Dun 26 7.5.9,52.272819,1.631153
 Dun 26 7.5.9,52.272819,1.631153
 Dun 26 7.5.9 - Average,52.272819,1.631153
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand,52.343906,1.689469
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand,52.343906,1.689469
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand,52.343906,1.689469
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand,52.343906,1.689469
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand,52.343906,1.689469
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand,52.343906,1.689469
 Easton Cliffs 28-5-09 EC1 Pale Upper Sand - Average,52.343906,1.689469
 Easton Cliffs 28-05-09 EC2 Pale Upper Sand,52.343894,1.689586
 Easton Cliffs 28-05-09 EC2 Pale Upper Sand,52.343894,1.689586
 Easton Cliffs 28-05-09 EC2 Pale Upper Sand,52.343894,1.689586
 Easton Cliffs 28-05-09 EC2 Pale Upper Sand - Average,52.343894,1.689586
 Easton Cliffs 28-5-09 EC3 Red Lower Sand (contaminated with CH6),52.343917,1.689367
 Easton Cliffs 28-5-09 EC3 Red Lower Sand (contaminated with CH6),52.343917,1.689367
 Easton Cliffs 28-5-09 EC3 Red Lower Sand (contaminated with CH6),52.343917,1.689367
 Easton Cliffs 28-5-09 EC3 Red Lower Sand (contaminated with CH6) - Average,52.343917,1.689367
 EC3,52.343917,1.689367
 EC3,52.343917,1.689367
 EC3,52.343917,1.689367
 EC3 - Average,52.343917,1.689367
 EBC.1A,52.351847,1.684603
 EBC.1A,52.351847,1.684603
 EBC.1A,52.351847,1.684603
 EBC.1A - Average,52.351847,1.684603
 EBC1B,52.351847,1.684603
 EBC1B,52.351847,1.684603
 EBC1B,52.351847,1.684603
 EBC1B - Average,52.351847,1.684603
 EBC.1.C.,52.351847,1.684603
 EBC.1.C.,52.351847,1.684603
 EBC.1.C.,52.351847,1.684603
 EBC.1.C. - Average,52.351847,1.684603
 SW,52.329933,1.684603
 SW,52.329933,1.684603
 SW,52.329933,1.684603
 SW - Average,52.329933,1.684603
 TNO3 CLIFF,52.195653,1.622106
 TNO3 CLIFF,52.195653,1.622106
 TNO3 CLIFF,52.195653,1.622106
 TNO3 CLIFF - Average,52.195653,1.622106
 WW Sand,52.312014,1.6684
 WW Sand,52.312014,1.6684
 WW Sand,52.312014,1.6684
 WW Sand - Average,52.312014,1.6684
